City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Avarua,CK,80.6,light rain,-21.2078,-159.775,Paradise Inn
6,Namibe,AO,81.05,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
15,Omboue,GA,78.94,overcast clouds,-1.5746,9.2618,Hotel Olako
23,Atuona,PF,80.49,clear sky,-9.8,-139.0333,Villa Enata
24,Isangel,VU,86.0,broken clouds,-19.55,169.2667,Tanna Lodge
30,Harper,LR,81.37,broken clouds,4.375,-7.7169,Screensaver
32,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
36,Malangwa,NP,78.04,scattered clouds,26.8568,85.5581,Prem Meat House
37,Hambantota,LK,77.79,broken clouds,6.1241,81.1185,Bungalow 63
38,Rikitea,PF,77.76,scattered clouds,-23.1203,-134.9692,Pension Maro'i
42,Butaritari,KI,82.0,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
46,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
49,Kalmunai,LK,78.22,broken clouds,7.4167,81.8167,VS Villa
53,Labuhan,ID,75.58,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
54,Sakakah,SA,78.8,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
55,Lantawan,PH,82.4,broken clouds,10.6167,123.9833,Durano Ecofarm and Spring Resort
56,Hilo,US,86.0,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
59,Salinopolis,BR,77.36,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
61,Denpasar,ID,77.0,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
62,Eyl,SO,81.9,overcast clouds,7.9803,49.8164,Amiin Hotel
63,Kathu,TH,84.0,few clouds,7.9178,98.3332,Novotel Phuket Resort
66,Cayenne,GF,78.01,light rain,4.9333,-52.3333,Hôtel Le Dronmi
71,Bridgetown,BB,78.8,few clouds,13.1,-59.6167,Hilton Barbados Resort
74,Biltine,TD,83.88,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
80,Soyo,AO,78.62,light rain,-6.1349,12.3689,Hotel Mpampa
81,Georgetown,MY,81.0,few clouds,5.4112,100.3354,Cititel Penang
93,Faanui,PF,81.68,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
95,San Patricio,US,80.6,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
96,Nellikkuppam,IN,81.37,overcast clouds,11.7667,79.6833,Masjid-e-sulthaniya
109,Tibu,CO,81.57,few clouds,8.639,-72.7358,Hotel Yuliana's
112,Manado,ID,78.8,few clouds,1.4869999999999999,124.8455,Aryaduta Hotel
113,Nileshwar,IN,78.51,overcast clouds,12.25,75.1,Neeleshwar Hermitage
115,Lazaro Cardenas,MX,82.62,broken clouds,17.9583,-102.2,Hotel Quinta Antigua
120,Cabo San Lucas,MX,81.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
128,Dingle,PH,79.63,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
129,Kimbe,PG,81.52,light rain,-5.5502,150.1429,Kimbe Bay Hotel
136,Wanning,CN,77.32,broken clouds,18.8003,110.3967,Paradise Hotel
141,Saint-Philippe,RE,77.0,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
143,Takoradi,GH,81.14,overcast clouds,4.8845,-1.7554,Raybow International Hotel
