City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country,Description
0,Cherskiy,68.75,161.3,35.04,scattered clouds,76,44,22.86,RU,scattered clouds
1,Derzhavinsk,51.1,66.3167,30.85,clear sky,47,0,4.7,KZ,clear sky
2,Lao Cai,22.4833,103.95,74.44,broken clouds,88,68,1.32,VN,broken clouds
3,Avarua,-21.2078,-159.775,80.6,light rain,74,40,11.5,CK,light rain
4,Hasaki,35.7333,140.8333,63.0,few clouds,59,20,13.8,JP,few clouds
5,Paranhos,-23.8928,-55.4311,72.82,clear sky,52,6,9.22,BR,clear sky
6,Namibe,-15.1961,12.1522,81.05,scattered clouds,77,50,1.63,AO,scattered clouds
7,Baykit,61.67,96.37,19.9,overcast clouds,94,100,3.98,RU,overcast clouds
8,Tura,25.5198,90.2201,71.92,clear sky,84,0,4.76,IN,clear sky
9,Ribeira Grande,38.5167,-28.7,62.44,overcast clouds,91,100,13.33,PT,overcast clouds
10,Arraial Do Cabo,-22.9661,-42.0278,69.8,broken clouds,100,75,8.05,BR,broken clouds
11,Yankton,42.8711,-97.3973,42.8,overcast clouds,33,90,12.66,US,overcast clouds
12,Bredasdorp,-34.5322,20.0403,57.2,overcast clouds,94,100,3.8,ZA,overcast clouds
13,Chokurdakh,70.6333,147.9167,23.76,overcast clouds,95,100,4.27,RU,overcast clouds
14,Sitka,57.0531,-135.33,50.0,broken clouds,66,75,10.36,US,broken clouds
15,Omboue,-1.5746,9.2618,78.94,overcast clouds,84,96,3.67,GA,overcast clouds
16,East London,-33.0153,27.9116,65.71,broken clouds,84,52,12.26,ZA,broken clouds
17,Hobart,-42.8794,147.3294,46.0,few clouds,75,20,11.5,AU,few clouds
18,Yumen,40.2833,97.2,52.2,scattered clouds,24,38,5.88,CN,scattered clouds
19,Castro,-24.7911,-50.0119,56.84,scattered clouds,93,41,5.61,BR,scattered clouds
20,Nouakchott,18.0858,-15.9785,64.4,scattered clouds,88,48,12.66,MR,scattered clouds
21,Clyde River,70.4692,-68.5914,3.2,few clouds,92,20,8.05,CA,few clouds
22,Lavrentiya,65.5833,-171.0,30.11,overcast clouds,69,99,6.78,RU,overcast clouds
23,Atuona,-9.8,-139.0333,80.49,clear sky,74,2,17.31,PF,clear sky
24,Isangel,-19.55,169.2667,86.0,broken clouds,74,75,5.75,VU,broken clouds
25,Lagoa,39.05,-27.9833,61.27,overcast clouds,90,100,19.3,PT,overcast clouds
26,Mataura,-46.1927,168.8643,57.0,few clouds,78,13,7.0,NZ,few clouds
27,Bagdarin,54.4333,113.6,31.28,snow,92,100,4.92,RU,snow
28,Flinders,-34.5833,150.8552,63.0,few clouds,53,22,1.99,AU,few clouds
29,Albany,42.6001,-73.9662,53.01,overcast clouds,50,97,7.56,US,overcast clouds
30,Harper,4.375,-7.7169,81.37,broken clouds,80,79,7.63,LR,broken clouds
31,Hamilton,39.1834,-84.5333,52.0,overcast clouds,64,97,10.4,US,overcast clouds
32,Puerto Ayora,-0.7393,-90.3518,82.4,few clouds,74,20,14.97,EC,few clouds
33,Soe,-9.8607,124.284,65.79,scattered clouds,90,42,1.83,ID,scattered clouds
34,Manyana,-23.4,21.7167,59.25,clear sky,34,1,7.72,BW,clear sky
35,Granger,41.7481,-86.1257,36.0,light snow,86,90,6.67,US,light snow
36,Malangwa,26.8568,85.5581,78.04,scattered clouds,36,47,9.37,NP,scattered clouds
37,Hambantota,6.1241,81.1185,77.79,broken clouds,86,56,8.72,LK,broken clouds
38,Rikitea,-23.1203,-134.9692,77.76,scattered clouds,72,33,4.74,PF,scattered clouds
39,Lima,-12.0432,-77.0282,68.0,few clouds,83,20,18.41,PE,few clouds
40,Aktau,43.65,51.2,62.6,clear sky,45,0,22.37,KZ,clear sky
41,Rhyl,53.3196,-3.4886,48.0,overcast clouds,93,98,3.8,GB,overcast clouds
42,Butaritari,3.0707,172.7902,82.0,overcast clouds,76,92,18.19,KI,overcast clouds
43,Havelock,34.8791,-76.9013,68.0,clear sky,42,1,5.75,US,clear sky
44,New Norfolk,-42.7826,147.0587,46.0,few clouds,72,12,3.0,AU,few clouds
45,Betera,39.5833,-0.45,57.99,mist,100,75,2.3,ES,mist
46,Mahebourg,-20.4081,57.7,77.0,light rain,94,75,6.91,MU,light rain
47,Longyearbyen,78.2186,15.6401,26.6,broken clouds,68,75,6.91,SJ,broken clouds
48,Krasnoyarka,55.3333,73.1167,33.8,scattered clouds,44,40,11.18,RU,scattered clouds
49,Kalmunai,7.4167,81.8167,78.22,broken clouds,84,76,3.13,LK,broken clouds
50,Cape Town,-33.9258,18.4232,61.0,broken clouds,88,61,5.75,ZA,broken clouds
51,Komsomolskiy,40.4272,71.7189,55.4,broken clouds,82,75,9.22,UZ,broken clouds
52,Sturgeon Bay,44.8342,-87.377,37.4,overcast clouds,55,90,10.36,US,overcast clouds
53,Labuhan,-6.8844,112.2051,75.58,broken clouds,83,68,5.48,ID,broken clouds
54,Sakakah,29.9697,40.2064,78.8,clear sky,12,0,9.22,SA,clear sky
55,Lantawan,10.6167,123.9833,82.4,broken clouds,83,75,13.8,PH,broken clouds
56,Hilo,19.7297,-155.09,86.0,clear sky,45,1,13.8,US,clear sky
57,Punta Arenas,-53.15,-70.9167,44.01,clear sky,75,0,9.22,CL,clear sky
58,Norman Wells,65.282,-126.8329,32.0,overcast clouds,69,90,19.57,CA,overcast clouds
59,Salinopolis,-0.6136,-47.3561,77.36,overcast clouds,84,96,7.02,BR,overcast clouds
60,Pevek,69.7008,170.3133,29.44,few clouds,67,20,20.47,RU,few clouds
61,Denpasar,-8.65,115.2167,77.0,few clouds,78,20,2.3,ID,few clouds
62,Eyl,7.9803,49.8164,81.9,overcast clouds,77,86,8.28,SO,overcast clouds
63,Kathu,7.9178,98.3332,84.0,few clouds,100,20,1.14,TH,few clouds
64,Chapais,49.7834,-74.8492,24.8,light snow,80,90,11.5,CA,light snow
65,Kaitangata,-46.2817,169.8464,58.66,clear sky,57,8,4.34,NZ,clear sky
66,Cayenne,4.9333,-52.3333,78.01,light rain,94,90,7.52,GF,light rain
67,Kirovsk,48.6375,38.6428,47.77,broken clouds,88,70,16.2,UA,broken clouds
