City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bandarbeyla,SO,2021-04-20 19:48:42,9.4942,50.8122,82.11,76,100,8.23
1,Mar Del Plata,AR,2021-04-20 19:45:00,-38.0023,-57.5575,69.8,78,20,19.57
2,Rikitea,PF,2021-04-20 19:48:42,-23.1203,-134.9692,77.49,73,59,5.28
3,Bhachau,IN,2021-04-20 19:48:43,23.2833,70.35,80.53,48,71,7.81
4,Olafsvik,IS,2021-04-20 19:44:03,64.8945,-23.7142,39.9,74,36,11.16
5,Kodiak,US,2021-04-20 19:46:29,57.79,-152.4072,42.8,87,90,6.91
6,Codrington,AU,2021-04-20 19:48:43,-38.2667,141.9667,50.41,57,100,5.44
7,San Quintin,MX,2021-04-20 19:48:44,30.4833,-115.95,65.88,66,41,14.41
8,Kununurra,AU,2021-04-20 19:48:44,-15.7667,128.7333,66.2,88,7,2.19
9,Souillac,MU,2021-04-20 19:48:44,-20.5167,57.5167,77.0,94,75,5.99
10,Burnie,AU,2021-04-20 19:48:44,-41.0667,145.9167,39.0,84,1,4.0
11,La Ronge,CA,2021-04-20 19:48:45,55.1001,-105.2842,39.2,30,74,4.61
12,Buraydah,SA,2021-04-20 19:48:45,26.326,43.975,78.8,31,0,3.44
13,Pasighat,IN,2021-04-20 19:48:45,28.0667,95.3333,66.47,66,16,4.65
14,Tolaga Bay,NZ,2021-04-20 19:48:46,-38.3667,178.3,63.21,95,100,9.17
15,Nagua,DO,2021-04-20 19:48:46,19.3832,-69.8474,91.4,55,20,4.61
16,Valparaiso,CL,2021-04-20 19:48:46,-33.0393,-71.6273,59.0,100,90,17.27
17,Atar,MR,2021-04-20 19:48:47,20.5169,-13.0499,88.32,11,57,7.76
18,Florianopolis,BR,2021-04-20 19:48:47,-27.6146,-48.5012,73.99,73,75,13.8
19,Vaini,TO,2021-04-20 19:48:47,-21.2,-175.2,71.6,94,75,11.65
20,Cape Town,ZA,2021-04-20 19:48:06,-33.9258,18.4232,63.0,88,0,8.05
21,Tasiilaq,GL,2021-04-20 19:48:48,65.6145,-37.6368,30.67,73,100,4.25
22,Muravlenko,RU,2021-04-20 19:48:48,63.7898,74.523,5.36,96,21,6.38
23,Mahebourg,MU,2021-04-20 19:48:48,-20.4081,57.7,77.0,94,75,6.55
24,Port Alfred,ZA,2021-04-20 19:48:49,-33.5906,26.891,67.14,82,91,20.11
25,Darnah,LY,2021-04-20 19:48:49,32.767,22.6367,59.04,71,0,15.93
26,Kamenka,RU,2021-04-20 19:48:49,51.3223,42.7678,54.0,95,100,28.83
27,Komsomolskiy,UZ,2021-04-20 19:48:50,40.4272,71.7189,57.2,67,90,6.91
28,Yellowknife,CA,2021-04-20 19:46:19,62.456,-114.3525,41.0,56,20,8.05
29,Port Blair,IN,2021-04-20 19:45:15,11.6667,92.75,80.69,73,23,1.83
30,Longyearbyen,SJ,2021-04-20 19:45:25,78.2186,15.6401,26.6,74,75,9.22
31,Jamestown,US,2021-04-20 19:45:55,42.097,-79.2353,41.0,75,90,6.91
32,Bac Lieu,VN,2021-04-20 19:48:51,9.285,105.7244,82.72,75,100,8.34
33,Rajauri,IN,2021-04-20 19:48:51,33.3833,74.3,59.47,60,100,3.53
34,Cayenne,GF,2021-04-20 19:45:31,4.9333,-52.3333,80.6,78,75,8.05
35,Bengkulu,ID,2021-04-20 19:46:05,-3.8004,102.2655,75.92,89,65,3.85
36,Viedma,AR,2021-04-20 19:47:21,-40.8135,-62.9967,79.68,41,46,18.21
37,Albany,US,2021-04-20 19:46:44,42.6001,-73.9662,54.0,52,94,3.0
38,Dicabisagan,PH,2021-04-20 19:48:52,17.0818,122.4157,76.51,92,100,16.4
39,Hermanus,ZA,2021-04-20 19:48:52,-34.4187,19.2345,63.0,79,100,4.0
40,Bluff,NZ,2021-04-20 19:48:53,-46.6,168.3333,51.01,83,39,3.0
41,Skjervoy,NO,2021-04-20 19:48:53,70.0311,20.9714,46.4,53,0,5.75
42,Butaritari,KI,2021-04-20 19:48:53,3.0707,172.7902,81.45,76,100,17.02
43,Provideniya,RU,2021-04-20 19:48:53,64.3833,-173.3,24.8,63,0,6.71
44,Ushuaia,AR,2021-04-20 19:48:54,-54.8,-68.3,48.2,66,0,4.97
45,Saskylakh,RU,2021-04-20 19:48:54,71.9167,114.0833,-18.02,100,85,2.19
46,Tuktoyaktuk,CA,2021-04-20 19:45:51,69.4541,-133.0374,21.2,79,90,19.57
47,Atuona,PF,2021-04-20 19:48:55,-9.8,-139.0333,80.51,72,3,19.04
48,Hambantota,LK,2021-04-20 19:48:55,6.1241,81.1185,78.8,100,20,2.3
49,Ornskoldsvik,SE,2021-04-20 19:48:55,63.2909,18.7153,37.4,70,100,2.3
50,Dudinka,RU,2021-04-20 19:48:56,69.4058,86.1778,-19.21,100,75,2.73
